Timestamp,Step,train_loss,val_loss,perplexity,time_ms,tokens_per_second,learning_rate
2025-04-02T01:57:59,17,27.412571,NA,NA,NA,NA
2025-04-02T01:57:59,17,NA,NA,226.661439,NA,NA
2025-04-02T01:57:59,17,NA,NA,NA,1129.437866,NA
2025-04-02T01:57:59,17,NA,NA,NA,NA,0.000930
2025-04-02T01:57:59,18,27.878548,NA,NA,NA,NA
2025-04-02T01:57:59,18,NA,NA,253.554236,NA,NA
2025-04-02T01:57:59,18,NA,NA,NA,1009.645935,NA
2025-04-02T01:57:59,18,NA,NA,NA,NA,0.000922
2025-04-02T01:57:59,19,26.978765,NA,NA,NA,NA
2025-04-02T01:57:59,19,NA,NA,217.220322,NA,NA
2025-04-02T01:57:59,19,NA,NA,NA,1178.526978,NA
2025-04-02T01:57:59,19,NA,NA,NA,NA,0.000914
2025-04-02T01:58:00,20,NA,26.694876,NA,NA,NA
2025-04-02T01:58:00,20,26.813398,NA,NA,NA,NA
2025-04-02T01:58:00,20,NA,NA,240.557193,NA,NA
2025-04-02T01:58:00,20,NA,NA,NA,1064.196045,NA
2025-04-02T01:58:00,20,NA,NA,NA,NA,0.000905
2025-04-02T01:58:01,21,26.077911,NA,NA,NA,NA
2025-04-02T01:58:01,21,NA,NA,252.663613,NA,NA
2025-04-02T01:58:01,21,NA,NA,NA,1013.204834,NA
2025-04-02T01:58:01,21,NA,NA,NA,NA,0.000895
2025-04-02T01:58:01,22,26.055386,NA,NA,NA,NA
2025-04-02T01:58:01,22,NA,NA,256.403621,NA,NA
2025-04-02T01:58:01,22,NA,NA,NA,998.425842,NA
2025-04-02T01:58:01,22,NA,NA,NA,NA,0.000885
2025-04-02T01:58:01,23,26.532576,NA,NA,NA,NA
2025-04-02T01:58:01,23,NA,NA,240.026489,NA,NA
2025-04-02T01:58:01,23,NA,NA,NA,1066.548950,NA
2025-04-02T01:58:01,23,NA,NA,NA,NA,0.000875
2025-04-02T01:58:01,24,25.049652,NA,NA,NA,NA
2025-04-02T01:58:01,24,NA,NA,239.861799,NA,NA
2025-04-02T01:58:01,24,NA,NA,NA,1067.281250,NA
2025-04-02T01:58:01,24,NA,NA,NA,NA,0.000864
2025-04-02T01:58:02,25,23.740667,NA,NA,NA,NA
2025-04-02T01:58:02,25,NA,NA,235.242106,NA,NA
2025-04-02T01:58:02,25,NA,NA,NA,1088.240601,NA
2025-04-02T01:58:02,25,NA,NA,NA,NA,0.000854
2025-04-02T01:58:02,26,23.720285,NA,NA,NA,NA
2025-04-02T01:58:02,26,NA,NA,242.661492,NA,NA
2025-04-02T01:58:02,26,NA,NA,NA,1054.967529,NA
2025-04-02T01:58:02,26,NA,NA,NA,NA,0.000842
2025-04-02T01:58:02,27,22.788294,NA,NA,NA,NA
2025-04-02T01:58:02,27,NA,NA,254.338604,NA,NA
2025-04-02T01:58:02,27,NA,NA,NA,1006.532227,NA
2025-04-02T01:58:02,27,NA,NA,NA,NA,0.000831
2025-04-02T01:58:02,28,23.114571,NA,NA,NA,NA
2025-04-02T01:58:02,28,NA,NA,239.466912,NA,NA
2025-04-02T01:58:02,28,NA,NA,NA,1069.041260,NA
2025-04-02T01:58:02,28,NA,NA,NA,NA,0.000819
2025-04-02T01:58:03,29,22.952148,NA,NA,NA,NA
2025-04-02T01:58:03,29,NA,NA,252.444706,NA,NA
2025-04-02T01:58:03,29,NA,NA,NA,1014.083435,NA
2025-04-02T01:58:03,29,NA,NA,NA,NA,0.000806
2025-04-02T01:58:03,30,NA,22.395275,NA,NA,NA
2025-04-02T01:58:04,30,22.754147,NA,NA,NA,NA
2025-04-02T01:58:04,30,NA,NA,245.264529,NA,NA
2025-04-02T01:58:04,30,NA,NA,NA,1043.770996,NA
2025-04-02T01:58:04,30,NA,NA,NA,NA,0.000794
2025-04-02T01:58:04,31,21.410236,NA,NA,NA,NA
2025-04-02T01:58:04,31,NA,NA,255.975136,NA,NA
2025-04-02T01:58:04,31,NA,NA,NA,1000.097107,NA
2025-04-02T01:58:04,31,NA,NA,NA,NA,0.000781
2025-04-02T01:58:04,32,21.170488,NA,NA,NA,NA
2025-04-02T01:58:04,32,NA,NA,234.493728,NA,NA
2025-04-02T01:58:04,32,NA,NA,NA,1091.713623,NA
2025-04-02T01:58:04,32,NA,NA,NA,NA,0.000768
2025-04-02T01:58:04,33,21.051218,NA,NA,NA,NA
2025-04-02T01:58:04,33,NA,NA,250.940980,NA,NA
2025-04-02T01:58:04,33,NA,NA,NA,1020.160217,NA
2025-04-02T01:58:04,33,NA,NA,NA,NA,0.000755
2025-04-02T01:58:05,34,21.470831,NA,NA,NA,NA
2025-04-02T01:58:05,34,NA,NA,266.581122,NA,NA
2025-04-02T01:58:05,34,NA,NA,NA,960.308044,NA
2025-04-02T01:58:05,34,NA,NA,NA,NA,0.000741
2025-04-02T01:58:05,35,21.178143,NA,NA,NA,NA
2025-04-02T01:58:05,35,NA,NA,265.389491,NA,NA
2025-04-02T01:58:05,35,NA,NA,NA,964.619934,NA
2025-04-02T01:58:05,35,NA,NA,NA,NA,0.000727
2025-04-02T01:58:05,36,20.812246,NA,NA,NA,NA
2025-04-02T01:58:05,36,NA,NA,250.145355,NA,NA
2025-04-02T01:58:05,36,NA,NA,NA,1023.404968,NA
2025-04-02T01:58:05,36,NA,NA,NA,NA,0.000713
2025-04-02T01:58:05,37,20.128532,NA,NA,NA,NA
2025-04-02T01:58:05,37,NA,NA,239.662224,NA,NA
2025-04-02T01:58:05,37,NA,NA,NA,1068.170044,NA
2025-04-02T01:58:05,37,NA,NA,NA,NA,0.000699
2025-04-02T01:58:06,38,20.367210,NA,NA,NA,NA
2025-04-02T01:58:06,38,NA,NA,249.368118,NA,NA
2025-04-02T01:58:06,38,NA,NA,NA,1026.594727,NA
2025-04-02T01:58:06,38,NA,NA,NA,NA,0.000684
2025-04-02T01:58:06,39,19.853914,NA,NA,NA,NA
2025-04-02T01:58:06,39,NA,NA,259.878698,NA,NA
2025-04-02T01:58:06,39,NA,NA,NA,985.074951,NA
2025-04-02T01:58:06,39,NA,NA,NA,NA,0.000669
2025-04-02T01:58:07,40,NA,19.704136,NA,NA,NA
2025-04-02T01:58:07,40,19.130375,NA,NA,NA,NA
2025-04-02T01:58:07,40,NA,NA,257.220362,NA,NA
2025-04-02T01:58:07,40,NA,NA,NA,995.255554,NA
2025-04-02T01:58:07,40,NA,NA,NA,NA,0.000655
2025-04-02T01:58:07,41,18.529364,NA,NA,NA,NA
2025-04-02T01:58:07,41,NA,NA,247.827857,NA,NA
2025-04-02T01:58:07,41,NA,NA,NA,1032.975098,NA
2025-04-02T01:58:07,41,NA,NA,NA,NA,0.000639
2025-04-02T01:58:07,42,18.824543,NA,NA,NA,NA
2025-04-02T01:58:07,42,NA,NA,259.331391,NA,NA
2025-04-02T01:58:07,42,NA,NA,NA,987.153931,NA
2025-04-02T01:58:07,42,NA,NA,NA,NA,0.000624
2025-04-02T01:58:08,43,18.792458,NA,NA,NA,NA
2025-04-02T01:58:08,43,NA,NA,250.404437,NA,NA
2025-04-02T01:58:08,43,NA,NA,NA,1022.346130,NA
2025-04-02T01:58:08,43,NA,NA,NA,NA,0.000609
2025-04-02T01:58:08,44,19.122671,NA,NA,NA,NA
2025-04-02T01:58:08,44,NA,NA,257.332870,NA,NA
2025-04-02T01:58:08,44,NA,NA,NA,994.820435,NA
2025-04-02T01:58:08,44,NA,NA,NA,NA,0.000594
2025-04-02T01:58:08,45,18.353849,NA,NA,NA,NA
2025-04-02T01:58:08,45,NA,NA,243.332210,NA,NA
2025-04-02T01:58:08,45,NA,NA,NA,1052.059692,NA
2025-04-02T01:58:08,45,NA,NA,NA,NA,0.000578
2025-04-02T01:58:08,46,18.890720,NA,NA,NA,NA
2025-04-02T01:58:08,46,NA,NA,270.031180,NA,NA
2025-04-02T01:58:08,46,NA,NA,NA,948.038696,NA
2025-04-02T01:58:08,46,NA,NA,NA,NA,0.000563
2025-04-02T01:58:09,47,18.965618,NA,NA,NA,NA
2025-04-02T01:58:09,47,NA,NA,248.725857,NA,NA
2025-04-02T01:58:09,47,NA,NA,NA,1029.245605,NA
2025-04-02T01:58:09,47,NA,NA,NA,NA,0.000547
2025-04-02T01:58:09,48,17.337257,NA,NA,NA,NA
2025-04-02T01:58:09,48,NA,NA,274.377365,NA,NA
2025-04-02T01:58:09,48,NA,NA,NA,933.021545,NA
2025-04-02T01:58:09,48,NA,NA,NA,NA,0.000531
2025-04-02T01:58:09,49,17.952927,NA,NA,NA,NA
2025-04-02T01:58:09,49,NA,NA,244.158657,NA,NA
2025-04-02T01:58:09,49,NA,NA,NA,1048.498535,NA
2025-04-02T01:58:09,49,NA,NA,NA,NA,0.000516
